Issue Type,Summary,Description,Priority,Labels,Epic Name,Epic Link,Status,Components,Fix Version,Story Points
Subtask,Create options chain API adapter for brief pipeline,"Build adapter calling existing Schwab options chain functions, returning data in standardized format for brief generator. Include error handling for API rate limits.",Medium,requirement;options-domain,,Institutional Intelligence Brief — Research-to-Trade Pipeline,Idea,data-providers,3.x.x,3
Subtask,"Extract IV rank, term structure, and skew from chain data","Calculate: IV rank (current vs 52-week range), term structure shape (contango vs backwardation around catalyst dates), put/call skew. Derived metrics feed into strategy selection in Stage 3.",Medium,requirement;options-domain,,Institutional Intelligence Brief — Research-to-Trade Pipeline,Idea,scoring-engine,3.x.x,5
Feature,Brief Generation & Scorecard (Stage 3),"Combine Stage 1 data and Stage 2 options chain into structured Institutional Intelligence Brief: visual scorecard with signal indicators, strategy recommendations across 3 horizons, written analysis in collapsible sections, weekly monitoring checklist. Renders as React scorecard component.",Highest,requirement;options-domain,,Institutional Intelligence Brief — Research-to-Trade Pipeline,Idea,ai-evaluation;evaluation-ui;scoring-engine,3.x.x,13
Subtask,Build signal classification engine,"For each data point, apply configurable classification rule (bullish/bearish/neutral). Roll up signals into section verdicts via weighted scoring. Roll up sections into overall verdict (Worth Watching / Mixed / Caution).",Medium,requirement;framework-portable,,Institutional Intelligence Brief — Research-to-Trade Pipeline,Idea,scoring-engine,3.x.x,5
Subtask,Build strategy recommendation engine,"Given institutional thesis, IV regime, and account constraints (IRA Level 2), generate 3-4 recommendations across Horizon 1 (7-30 DTE income), Horizon 2 (30-60 DTE catalyst), Horizon 3 (60-120 DTE secular). Each includes structure, strikes, expiry, max gain/loss, breakeven, R:R, PoP, annualized return, confidence, archetype label, kill conditions, management rules.",High,requirement;options-domain,,Institutional Intelligence Brief — Research-to-Trade Pipeline,Idea,scoring-engine;ai-evaluation,3.x.x,8
Subtask,Build React scorecard component (v2),"Visual scorecard dashboard: header with ticker/price/change/volume/earnings, collapsible scorecard sections with signal indicators, strategy cards with archetype labels and Feed to Analyzer button, monitoring checklist, collapsible written brief sections. View mode toggle (Current/Historical) with date picker.",High,requirement;options-domain,,Institutional Intelligence Brief — Research-to-Trade Pipeline,Idea,evaluation-ui,3.x.x,8
Subtask,Wire standard app header into scorecard,Replace standalone ticker/price display with standard Options Analyzer QuoteBar component. Ensure consistent look and feel across all pages.,Medium,requirement,,Institutional Intelligence Brief — Research-to-Trade Pipeline,Idea,evaluation-ui;ui-shell,3.x.x,3
Feature,Report Management & Scheduling (Stage 4),"Report management layer: landing page listing active/archived briefs, scheduling toggle (one-time vs weekly), next update date, cost tracking, create new reports. Each report card: ticker, last update, next update, overall verdict, pause/resume toggle.",High,requirement;options-domain,,Institutional Intelligence Brief — Research-to-Trade Pipeline,Idea,dashboard-ui;agents;database,3.x.x,8
Subtask,Build research reports landing page,"Page listing all briefs in Active and Archived sections. Report card: ticker, company name, verdict indicator, last/next update dates, weekly toggle. Create New Report button. Card click navigates to detailed scorecard.",High,requirement;options-domain,,Institutional Intelligence Brief — Research-to-Trade Pipeline,Idea,dashboard-ui,3.x.x,5
Subtask,Implement scheduling engine for weekly re-prompts,"Toggle report to weekly sets next_update_date (7 days). On schedule: auto-run Stage 1 → Stage 2 → Stage 3, save as versioned update. Dashboard notification for new brief available.",High,requirement;framework-portable,,Institutional Intelligence Brief — Research-to-Trade Pipeline,Idea,agents;database,3.x.x,8
Subtask,Implement report archiving,"Archive moves report from Active to Archived, disables scheduling, preserves history. Unarchive resumes active status. Archived reports remain viewable.",Medium,requirement,,Institutional Intelligence Brief — Research-to-Trade Pipeline,Idea,dashboard-ui;database,3.x.x,3
Subtask,Implement token/cost estimation and tracking,"Estimate input/output tokens per LLM call (Claude + GPT-4). Convert to dollar cost using API pricing. Display: cost per run, cumulative cost per report, total across all reports. Show on report card and brief footer.",Medium,requirement;framework-portable,,Institutional Intelligence Brief — Research-to-Trade Pipeline,Idea,agents;database,3.x.x,5
Feature,Historical Tracking & Stick/Abandon Indicator (Stage 4b),Preserve each weekly brief version and calculate trend indicators. Track projected return and risk over time. Display Stick With It / Adjust / Abandon indicator based on thesis health. Show change arrows comparing current vs prior brief.,High,requirement;options-domain,,Institutional Intelligence Brief — Research-to-Trade Pipeline,Idea,database;scoring-engine;evaluation-ui,3.x.x,8
Subtask,Build brief versioning and diff engine,"Store each brief as versioned JSON. On re-prompt, compare current vs prior field-by-field. Calculate signal improvement/deterioration. Surface change indicators (green up, red down, neutral dash) in scorecard UI.",High,requirement;framework-portable,,Institutional Intelligence Brief — Research-to-Trade Pipeline,Idea,database,3.x.x,8
Subtask,Build Stick/Adjust/Abandon indicator logic,"Rules for thesis health indicator. Inputs: signals improved vs deteriorated, thesis break conditions, strategy projected return changes, overall verdict changes. Output: Stick With It (improving) / Adjust (weakening) / Abandon (break triggered). Display on report card and scorecard header.",Medium,requirement;options-domain,,Institutional Intelligence Brief — Research-to-Trade Pipeline,Idea,scoring-engine;evaluation-ui,3.x.x,5
Feature,Analyzer Integration (Stage 5),Wire Feed to Analyzer button on strategy cards to pass trade structure to existing Options Analyzer scoring engine. Analyzer scores the trade and returns results inline or navigates to detail view.,High,requirement;options-domain,,Institutional Intelligence Brief — Research-to-Trade Pipeline,Idea,scoring-engine;evaluation-ui,3.x.x,5
Subtask,Define Analyzer input schema for brief-generated trades,"Standardize data format: ticker, strategy_type, legs array ({action, strike, expiration, option_type}), estimated_credit_or_debit, max_gain, max_loss, thesis_summary. Ensure Analyzer accepts format and returns score.",Medium,requirement;options-domain,,Institutional Intelligence Brief — Research-to-Trade Pipeline,Idea,scoring-engine,3.x.x,3
Subtask,Build Feed to Analyzer UI flow,"On click: serialize trade to Analyzer input format, call scoring function, display result inline or navigate to detail page. Allow scoring multiple strategies for side-by-side comparison.",Medium,requirement;options-domain,,Institutional Intelligence Brief — Research-to-Trade Pipeline,Idea,evaluation-ui;scoring-engine,3.x.x,5
